citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,temperature,trait,statistic,SD,SE,extraction_note,nutrients_type,nutrients_concentration,water_volume_at_larva_stage,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,15,45.1,mean,NA,0.33,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,17.5,36.9,mean,NA,0.56,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,20,31.1,mean,NA,0.32,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,22.5,21.1,mean,NA,0.44,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,25,15,mean,NA,0.26,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,27.5,13.7,mean,NA,0.28,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,30,13,mean,NA,0.17,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens,molestus,Cmol,unambigious,1,NA,NA,Table 1,32.5,10,mean,NA,0.31,trait and SE value calculated by combining larva and pupal stage data,fish flakes,unclear,20-25ml per larva,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,20,16.1,mean,0.29,NA,trait and SD value calculated by combining larva and pupal stage data,fish food,unclear,unclear,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,25,11.13,mean,0.22,NA,trait and SD value calculated by combining larva and pupal stage data,fish food,unclear,unclear,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Zayed_2019,Culex,yes,not specified,not specified,Cpip,cannot be resolved,2,NA,NA,Table 1,30,7.1,mean,0.23,NA,trait and SD value calculated by combining larva and pupal stage data,fish food,unclear,unclear,NA,NA,lab,NA,"unclear for resistant and susceptible, laboratory population 7 generations",The susceptible and resistant populations were brought from The American Naval Medical Research 3 (NAMRU3) insectary and laboratory population was collected from field (unknown location),"26-28°C, 12 h:12 h light/dark period, 70-80% relative humidity",
Kiarie_2015,Culex,yes,pipiens pallens,NA,Cpal,unambigious,3,Species,Cpal,Table 2+3,20,21.89,mean,2.21,NA,trait and SD value calculated by combining larva and pupal stage data,mixture of laboratory chow and brewer’s yeast at a ratio of 2:1,unclear,1 egg raft (100-150 eggs) per 1000ml,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens pallens,NA,Cpal,unambigious,3,Species,Cpal,Table 2+3,24,16.03,mean,0.92,NA,trait and SD value calculated by combining larva and pupal stage data,mixture of laboratory chow and brewer’s yeast at a ratio of 2:1,unclear,1 egg raft (100-150 eggs) per 1000ml,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens pallens,NA,Cpal,unambigious,3,Species,Cpal,Table 2+3,28,10.63,mean,0.87,NA,trait and SD value calculated by combining larva and pupal stage data,mixture of laboratory chow and brewer’s yeast at a ratio of 2:1,unclear,1 egg raft (100-150 eggs) per 1000ml,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens,molestus,Cmol,unambigious,4,Species,Cmol,Table 2+3,20,24.1,mean,0.72,NA,trait and SD value calculated by combining larva and pupal stage data,mixture of laboratory chow and brewer’s yeast at a ratio of 2:1,unclear,1 egg raft (100-150 eggs) per 1000ml,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens,molestus,Cmol,unambigious,4,Species,Cmol,Table 2+3,24,17.94,mean,0.68,NA,trait and SD value calculated by combining larva and pupal stage data,mixture of laboratory chow and brewer’s yeast at a ratio of 2:1,unclear,1 egg raft (100-150 eggs) per 1000ml,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Kiarie_2015,Culex,yes,pipiens,molestus,Cmol,unambigious,4,Species,Cmol,Table 2+3,28,11.68,mean,0.78,NA,trait and SD value calculated by combining larva and pupal stage data,mixture of laboratory chow and brewer’s yeast at a ratio of 2:1,unclear,1 egg raft (100-150 eggs) per 1000ml,NA,12:12,lab,NA,several years,Kosin University Insectary,"27 ± 1 oC and 75 ± 5% RH, respectively and a 13:11 light and dark photoperiod.",
Mpho_2002_Heredity,Culex,yes,not specified,not specified,Cpip,likely pipiens pipiens since collected in UK aboveground,5,NA,NA,Text,25,18.24,mean,NA,0.42,had to guess whether it's SD or SE,fish food,unclear,140ml per 25 larvae,NA,NA,field,"garden water butt in Reading, Berkshire, England, June 1998",NA,NA,NA,
Mpho_2002_Heredity,Culex,yes,not specified,not specified,Cpip,likely pipiens pipiens since collected in UK aboveground,5,NA,NA,Text,30,15.86,mean,NA,0.46,had to guess whether it's SD or SE,fish food,unclear,140ml per 25 larvae,NA,NA,field,"garden water butt in Reading, Berkshire, England, June 1998",NA,NA,NA,
Mpho_2002_Heredity,Culex,yes,not specified,not specified,Cpip,likely pipiens pipiens since collected in UK aboveground,5,NA,NA,Text,37,14.98,mean,NA,0.42,had to guess whether it's SD or SE,fish food,unclear,140ml per 25 larvae,NA,NA,field,"garden water butt in Reading, Berkshire, England, June 1998",NA,NA,NA,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,6,population,lab,Figure 1,16,29.4,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,6,population,lab,Figure 1,20,15.1,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,6,population,lab,Figure 1,24,12.2,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,6,population,lab,Figure 1,28,9.1,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,6,population,lab,Figure 1,32,9.9,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,7,population,field,Figure 1,16,19.6,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,7,population,field,Figure 1,20,16.1,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,7,population,field,Figure 1,24,11.9,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,7,population,field,Figure 1,28,9.5,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,7,population,field,Figure 1,32,8.8,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,population,lab,Figure 1,16,25.2,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,population,lab,Figure 1,20,18.4,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,population,lab,Figure 1,24,11.9,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,population,lab,Figure 1,28,10.7,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,population,lab,Figure 1,32,9.3,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,9,population,field,Figure 1,16,24.8,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,9,population,field,Figure 1,20,15.6,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,9,population,field,Figure 1,24,11.3,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,9,population,field,Figure 1,28,9.7,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,9,population,field,Figure 1,32,9.5,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,10,population,field ,Figure 1,16,18.2,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,10,population,field ,Figure 1,20,13.9,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,10,population,field ,Figure 1,24,10.8,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,10,population,field ,Figure 1,28,9.6,mean,NA,NA,SEM could not be reliably digitized from Figure,"1:1:1 ratio of ground koi food, ground rabbit pellets, and bovine liver powder","60 mg—first instar, 100 mg—second instar, 120 mg—third instar, and 160 mg—fourth instar, in 1L water",1 liter per 200 larvae,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
