citation_id,genus,pipiens_complex? ,(sub)species,ecotype,species_id,reasoning_species_id,experiment_id,experiment_distinguisher,distinguisher_value,figure,Sex,temperature,trait,statistic,SD,SE,extraction_note,exposed_as_juveniles,food,humidity,photoperiod (L:D),mosquito_origin,location_collect,time_in_lab,lab_origin,pre_experiment_setup,Notes
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,15,74,mean,NA,1.37,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,17.5,66.77,mean,NA,0.6,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,20,57.61,mean,NA,4.5,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,22.5,32.6,mean,NA,1.65,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,25,23.19,mean,NA,1.16,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,27.5,21.19,mean,NA,1.72,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,30,20.77,mean,NA,1.23,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Spanoudis_2019,Culex,yes,pipiens ,molestus,Cmol,unambigious,1,NA,NA,Figure 4,female,32.5,1.58,mean,NA,0.67,,yes,10% sucrose,>65%,16:8,lab,NA,over 25yr,"Benaki Phytopathological Institute, Kifissia, Greece. Maintained at 24–26°C, high relative humidity >80%, 14:10 (L:D)","maintained in a controlled environment at 25–26°C, 65–70% RH and at a 16:8 (L:D) h period for more than two generations prior to experimentation.",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,lab,Figure 4,unclear,16,72.4,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,lab,Figure 4,unclear,20,43.6,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,lab,Figure 4,unclear,24,26,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,lab,Figure 4,unclear,28,7.3,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,2,population,lab,Figure 4,unclear,32,3.5,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,several years,"originally collected in Pennsylvania in 2004, have been highly colonized at the Wadsworth Center Arbovirus laboratory",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,field,Figure 4,unclear,16,86.9,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,field,Figure 4,unclear,20,112.2,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,field,Figure 4,unclear,24,43,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,field,Figure 4,unclear,28,34.7,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,pipiens ,not specified,Cpip,unambigious,3,population,field,Figure 4,unclear,32,23.8,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,lab,Figure 4,unclear,16,57,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,lab,Figure 4,unclear,20,61.4,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,lab,Figure 4,unclear,24,27.8,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,lab,Figure 4,unclear,28,23.8,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,4,population,lab,Figure 4,unclear,32,7.7,median,NA,NA,,unclear,10% sucrose,NA,16:8,lab,NA,highly colonized,"derived from a laboratory colony provided by D. Fonseca (Rutgers University, New Brunswick, NJ) and initially derived from egg rafts from a highly colonized line from Benzon Research Inc. (Carlisle, PA)",maintained in 30.5-cm3 cages in an environmental chamber at 27 ± 2°C with a relative humidity of 45–65% and a photoperiod of 16:8 (L:D) h,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,field,Figure 4,unclear,16,94.2,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,field,Figure 4,unclear,20,80.3,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,field,Figure 4,unclear,24,44.7,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,field,Figure 4,unclear,28,22.8,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,5,population,field,Figure 4,unclear,32,7.4,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"Orange County, CA",NA,NA,unclear,
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field ,Figure 4,unclear,16,76,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field ,Figure 4,unclear,20,43.9,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field ,Figure 4,unclear,24,16.6,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field ,Figure 4,unclear,28,10.6,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Ciota_2014,Culex,no,restuans,NA,Cres,unambigious,6,population,field ,Figure 4,unclear,32,6.4,median,NA,NA,,unclear,10% sucrose,NA,16:8,field,"August, 2010 from Takoma Park, MD, near Washington, DC",NA,NA,"maintained at 25–27°C, with a photoperiod of 16:8 (L:D) h for a single generation",
Oda_1999,Culex,yes,pipiens ,molestus,Cmol,unambigious,7,species,Cmol,Table 2,female,21,54.3,mean,NA,NA,Min-Max available in Table,no,2% sucrose,NA,NA,field,"collected in Nagasaki City (32""47'N), Nagasaki in November 1979",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 6-10 generations,
Oda_1999,Culex,yes,pipiens ,molestus,Cmol,unambigious,7,species,Cmol,Table 2,female,25,29,mean,NA,NA,Min-Max available in Table,yes,2% sucrose,NA,NA,field,"collected in Nagasaki City (32""47'N), Nagasaki in November 1979",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 6-10 generations,
Oda_1999,Culex,yes,pipiens ,molestus,Cmol,unambigious,7,species,Cmol,Table 2,female,30,14.2,mean,NA,NA,Min-Max available in Table,yes,2% sucrose,NA,NA,field,"collected in Nagasaki City (32""47'N), Nagasaki in November 1979",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 6-10 generations,
Oda_1999,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,species,Cqui,Table 2,female,21,54.3,mean,NA,NA,Min-Max available in Table,no,2% sucrose,NA,NA,field,"collected in Naha City (26""14'N), Okinawa, in March 1980",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 2-6 generations,
Oda_1999,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,species,Cqui,Table 2,female,25,64.4,mean,NA,NA,Min-Max available in Table,yes,2% sucrose,NA,NA,field,"collected in Naha City (26""14'N), Okinawa, in March 1980",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 2-6 generations,
Oda_1999,Culex,yes,quinquefasciatus,NA,Cqui,unambigious,8,species,Cqui,Table 2,female,30,30.1,mean,NA,NA,Min-Max available in Table,yes,2% sucrose,NA,NA,field,"collected in Naha City (26""14'N), Okinawa, in March 1980",NA,NA,25C and relative humidity of 70-80% under and 16:8 l/d for 2-6 generations,
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,9,population,Coachella Valley 1991,Table 1,female,15,58.1,median,NA,NA,,yes,10% sucrose,NA,NA,field,"near the north shore of the Salton Sea near Mecca (33° 34' N, 116° 4' W), Riverside County, in the southern Coachella Valley in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,9,population,Coachella Valley 1991,Table 1,female,20,66.7,median,NA,NA,,yes,10% sucrose,NA,NA,field,"near the north shore of the Salton Sea near Mecca (33° 34' N, 116° 4' W), Riverside County, in the southern Coachella Valley in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,9,population,Coachella Valley 1991,Table 1,female,25,32.6,median,NA,NA,,yes,10% sucrose,NA,NA,field,"near the north shore of the Salton Sea near Mecca (33° 34' N, 116° 4' W), Riverside County, in the southern Coachella Valley in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,9,population,Coachella Valley 1991,Table 1,female,30,22.8,median,NA,NA,,yes,10% sucrose,NA,NA,field,"near the north shore of the Salton Sea near Mecca (33° 34' N, 116° 4' W), Riverside County, in the southern Coachella Valley in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,9,population,Coachella Valley 1991,Table 1,female,35,12.8,median,NA,NA,,yes,10% sucrose,NA,NA,field,"near the north shore of the Salton Sea near Mecca (33° 34' N, 116° 4' W), Riverside County, in the southern Coachella Valley in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,10,population,San Joaquin Valley 1991,Table 1,female,15,59.1,median,NA,NA,,yes,10% sucrose,NA,NA,field,"collected by dry ice-baited traps operated along the Kern River drainage near Bakersfield (35° 25' N, 119° 3' W), Kern County, in the southern San Joaquin Valley (designated SJV) in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,10,population,San Joaquin Valley 1991,Table 1,female,20,45.3,median,NA,NA,,yes,10% sucrose,NA,NA,field,"collected by dry ice-baited traps operated along the Kern River drainage near Bakersfield (35° 25' N, 119° 3' W), Kern County, in the southern San Joaquin Valley (designated SJV) in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
Reisen_1995,Culex,no,tarsalis,NA,Ctar,unambigious,10,population,San Joaquin Valley 1991,Table 1,female,25,23.4,median,NA,NA,,yes,10% sucrose,NA,NA,field,"collected by dry ice-baited traps operated along the Kern River drainage near Bakersfield (35° 25' N, 119° 3' W), Kern County, in the southern San Joaquin Valley (designated SJV) in 1991",NA,NA,"Field-collected females were blood fed on a chick, held for 5 d under inseetary conditions (22°C, and a photoperiod of 14: 10 [L:D] h), and allowed to oviposit en masse. F1 progeny of these females were used for the experiments.",
